M,N,K
3946, 3584, 6144
3946, 6144, 3072
3946, 160, 6144
4304, 3584, 6144
4304, 6144, 3072
4304, 160, 6144
3848, 3584, 6144
3848, 6144, 3072
3848, 160, 6144
3991, 3584, 6144
3991, 6144, 3072
3991, 160, 6144
4464, 3584, 6144
4464, 6144, 3072
4464, 160, 6144
4267, 3584, 6144
4267, 6144, 3072
4267, 160, 6144
4096, 3584, 6144
4096, 6144, 3072
4096, 160, 6144
4430, 3584, 6144
4430, 6144, 3072
4430, 160, 6144
4159, 3584, 6144
4159, 6144, 3072
4159, 160, 6144
3883, 3584, 6144
3883, 6144, 3072
3883, 160, 6144
4268, 3584, 6144
4268, 6144, 3072
4268, 160, 6144
4048, 3584, 6144
4048, 6144, 3072
4048, 160, 6144
4056, 3584, 6144
4056, 6144, 3072
4056, 160, 6144
8187, 3584, 6144
8187, 6144, 3072
8187, 160, 6144
4229, 3584, 6144
4229, 6144, 3072
4229, 160, 6144
4101, 3584, 6144
4101, 6144, 3072
4101, 160, 6144
4165, 3584, 6144
4165, 6144, 3072
4165, 160, 6144
4034, 3584, 6144
4034, 6144, 3072
4034, 160, 6144
3906, 3584, 6144
3906, 6144, 3072
3906, 160, 6144
4208, 3584, 6144
4208, 6144, 3072
4208, 160, 6144
4251, 3584, 6144
4251, 6144, 3072
4251, 160, 6144
3926, 3584, 6144
3926, 6144, 3072
3926, 160, 6144
7791, 3584, 6144
7791, 6144, 3072
7791, 160, 6144
4038, 3584, 6144
4038, 6144, 3072
4038, 160, 6144
4383, 3584, 6144
4383, 6144, 3072
4383, 160, 6144
4108, 3584, 6144
4108, 6144, 3072
4108, 160, 6144
4152, 3584, 6144
4152, 6144, 3072
4152, 160, 6144
3901, 3584, 6144
3901, 6144, 3072
3901, 160, 6144
3680, 3584, 6144
3680, 6144, 3072
3680, 160, 6144
4008, 3584, 6144
4008, 6144, 3072
4008, 160, 6144
4109, 3584, 6144
4109, 6144, 3072
4109, 160, 6144
4323, 3584, 6144
4323, 6144, 3072
4323, 160, 6144
4317, 3584, 6144
4317, 6144, 3072
4317, 160, 6144
3998, 3584, 6144
3998, 6144, 3072
3998, 160, 6144
7804, 3584, 6144
7804, 6144, 3072
7804, 160, 6144
3792, 3584, 6144
3792, 6144, 3072
3792, 160, 6144
3735, 160, 6144
7884, 3584, 6144
7884, 6144, 3072
7884, 160, 6144
3827, 3584, 6144
3827, 6144, 3072
3827, 160, 6144
4230, 3584, 6144
4230, 6144, 3072
4230, 160, 6144
3754, 3584, 6144
3754, 6144, 3072
3754, 160, 6144
3897, 3584, 6144
3897, 6144, 3072
3897, 160, 6144
3975, 3584, 6144
3975, 6144, 3072
3975, 160, 6144
3840, 3584, 6144
3840, 6144, 3072
3840, 160, 6144
4071, 3584, 6144
4071, 6144, 3072
4071, 160, 6144
4164, 3584, 6144
4164, 6144, 3072
4164, 160, 6144
8008, 3584, 6144
8008, 6144, 3072
8008, 160, 6144
4004, 3584, 6144
4004, 6144, 3072
4004, 160, 6144
3941, 3584, 6144
3941, 6144, 3072
3941, 160, 6144
4006, 3584, 6144
4006, 6144, 3072
4006, 160, 6144
3915, 3584, 6144
3915, 6144, 3072
3915, 160, 6144
3895, 3584, 6144
3895, 6144, 3072
3895, 160, 6144
4089, 3584, 6144
4089, 6144, 3072
4089, 160, 6144
4223, 3584, 6144
4223, 6144, 3072
4223, 160, 6144
4102, 3584, 6144
4102, 6144, 3072
4102, 160, 6144
3832, 3584, 6144
3832, 6144, 3072
3832, 160, 6144
4157, 3584, 6144
4157, 6144, 3072
4157, 160, 6144
3939, 3584, 6144
3939, 6144, 3072
3939, 160, 6144
3903, 3584, 6144
3903, 6144, 3072
3903, 160, 6144
3960, 3584, 6144
3960, 6144, 3072
3960, 160, 6144
4016, 3584, 6144
4016, 6144, 3072
4016, 160, 6144
4171, 3584, 6144
4171, 6144, 3072
4171, 160, 6144
68614, 3584, 6144
68614, 6144, 3072
68614, 160, 6144
4231, 3584, 6144
4231, 6144, 3072
4231, 160, 6144
4133, 3584, 6144
4133, 6144, 3072
4133, 160, 6144
4239, 3584, 6144
4239, 6144, 3072
4239, 160, 6144
3908, 3584, 6144
3908, 6144, 3072
3908, 160, 6144
3825, 3584, 6144
3825, 6144, 3072
3825, 160, 6144
4211, 3584, 6144
4211, 6144, 3072
4211, 160, 6144
4160, 3584, 6144
4160, 6144, 3072
4160, 160, 6144
3942, 3584, 6144
3942, 6144, 3072
3942, 160, 6144
4349, 3584, 6144
4349, 6144, 3072
4349, 160, 6144
4111, 3584, 6144
4111, 6144, 3072
4111, 160, 6144
4466, 3584, 6144
4466, 6144, 3072
4466, 160, 6144
3977, 3584, 6144
3977, 6144, 3072
3977, 160, 6144
3957, 3584, 6144
3957, 6144, 3072
3957, 160, 6144
7969, 3584, 6144
7969, 6144, 3072
7969, 160, 6144
4027, 3584, 6144
4027, 6144, 3072
4027, 160, 6144
4511, 3584, 6144
4511, 6144, 3072
4511, 160, 6144
4314, 3584, 6144
4314, 6144, 3072
4314, 160, 6144
3881, 3584, 6144
3881, 6144, 3072
3881, 160, 6144
4295, 3584, 6144
4295, 6144, 3072
4295, 160, 6144
3920, 3584, 6144
3920, 6144, 3072
3920, 160, 6144
4363, 3584, 6144
4363, 6144, 3072
4363, 160, 6144
8368, 3584, 6144
8368, 6144, 3072
8368, 160, 6144
4185, 3584, 6144
4185, 6144, 3072
4185, 160, 6144
4291, 3584, 6144
4291, 6144, 3072
4291, 160, 6144
3994, 3584, 6144
3994, 6144, 3072
3994, 160, 6144
3919, 3584, 6144
3919, 6144, 3072
3919, 160, 6144
3964, 3584, 6144
3964, 6144, 3072
3964, 160, 6144
4037, 3584, 6144
4037, 6144, 3072
4037, 160, 6144
8054, 3584, 6144
8054, 6144, 3072
8054, 160, 6144
3850, 3584, 6144
3850, 6144, 3072
3850, 160, 6144
3806, 3584, 6144
3806, 6144, 3072
3806, 160, 6144
7919, 3584, 6144
7919, 6144, 3072
7919, 160, 6144
7881, 3584, 6144
7881, 6144, 3072
7881, 160, 6144
4226, 3584, 6144
4226, 6144, 3072
4226, 160, 6144
4087, 3584, 6144
4087, 6144, 3072
4087, 160, 6144
8441, 3584, 6144
8441, 6144, 3072
8441, 160, 6144
8315, 3584, 6144
8315, 6144, 3072
8315, 160, 6144
4346, 3584, 6144
4346, 6144, 3072
4346, 160, 6144
3978, 3584, 6144
3978, 6144, 3072
3978, 160, 6144
4179, 3584, 6144
4179, 6144, 3072
4179, 160, 6144
4306, 3584, 6144
4306, 6144, 3072
4306, 160, 6144
8341, 3584, 6144
8341, 6144, 3072
8341, 160, 6144
12178, 3584, 6144
12178, 6144, 3072
12178, 160, 6144
3932, 3584, 6144
3932, 6144, 3072
3932, 160, 6144
4221, 3584, 6144
4221, 6144, 3072
4221, 160, 6144
3814, 3584, 6144
3814, 6144, 3072
3814, 160, 6144
4173, 3584, 6144
4173, 6144, 3072
4173, 160, 6144
4078, 3584, 6144
4078, 6144, 3072
4078, 160, 6144
4015, 3584, 6144
4015, 6144, 3072
4015, 160, 6144
3890, 3584, 6144
3890, 6144, 3072
3890, 160, 6144
4280, 3584, 6144
4280, 6144, 3072
4280, 160, 6144
8342, 3584, 6144
8342, 6144, 3072
8342, 160, 6144
4065, 3584, 6144
4065, 6144, 3072
4065, 160, 6144
3791, 3584, 6144
3791, 6144, 3072
3791, 160, 6144
4357, 3584, 6144
4357, 6144, 3072
4357, 160, 6144
4340, 3584, 6144
4340, 6144, 3072
4340, 160, 6144
3963, 3584, 6144
3963, 6144, 3072
3963, 160, 6144
4062, 3584, 6144
4062, 6144, 3072
4062, 160, 6144
4260, 3584, 6144
4260, 6144, 3072
4260, 160, 6144
4261, 3584, 6144
4261, 6144, 3072
4261, 160, 6144
3847, 3584, 6144
3847, 6144, 3072
3847, 160, 6144
7931, 3584, 6144
7931, 6144, 3072
7931, 160, 6144
7900, 3584, 6144
7900, 6144, 3072
7900, 160, 6144
4115, 3584, 6144
4115, 6144, 3072
4115, 160, 6144
4478, 3584, 6144
4478, 6144, 3072
4478, 160, 6144
4499, 3584, 6144
4499, 6144, 3072
4499, 160, 6144
3931, 3584, 6144
3931, 6144, 3072
3931, 160, 6144
4315, 3584, 6144
4315, 6144, 3072
4315, 160, 6144
4416, 3584, 6144
4416, 6144, 3072
4416, 160, 6144
4278, 3584, 6144
4278, 6144, 3072
4278, 160, 6144
8234, 3584, 6144
8234, 6144, 3072
8234, 160, 6144
4191, 3584, 6144
4191, 6144, 3072
4191, 160, 6144
4425, 3584, 6144
4425, 6144, 3072
4425, 160, 6144
4080, 3584, 6144
4080, 6144, 3072
4080, 160, 6144
8014, 3584, 6144
8014, 6144, 3072
8014, 160, 6144
4256, 3584, 6144
4256, 6144, 3072
4256, 160, 6144
4299, 3584, 6144
4299, 6144, 3072
4299, 160, 6144
3976, 3584, 6144
3976, 6144, 3072
3976, 160, 6144
3834, 3584, 6144
3834, 6144, 3072
3834, 160, 6144
4132, 3584, 6144
4132, 6144, 3072
4132, 160, 6144
4088, 3584, 6144
4088, 6144, 3072
4088, 160, 6144
8022, 3584, 6144
8022, 6144, 3072
8022, 160, 6144
7656, 3584, 6144
7656, 6144, 3072
7656, 160, 6144
8608, 3584, 6144
8608, 6144, 3072
8608, 160, 6144
4049, 3584, 6144
4049, 6144, 3072
4049, 160, 6144
11565, 3584, 6144
11565, 6144, 3072
11565, 160, 6144
3784, 3584, 6144
3784, 6144, 3072
3784, 160, 6144
4517, 3584, 6144
4517, 6144, 3072
4517, 160, 6144
4023, 3584, 6144
4023, 6144, 3072
4023, 160, 6144
7783, 3584, 6144
7783, 6144, 3072
7783, 160, 6144
4277, 3584, 6144
4277, 6144, 3072
4277, 160, 6144
3802, 3584, 6144
3802, 6144, 3072
3802, 160, 6144
4081, 3584, 6144
4081, 6144, 3072
4081, 160, 6144
4203, 3584, 6144
4203, 6144, 3072
4203, 160, 6144
7781, 3584, 6144
7781, 6144, 3072
7781, 160, 6144
4212, 3584, 6144
4212, 6144, 3072
4212, 160, 6144
4135, 3584, 6144
4135, 6144, 3072
4135, 160, 6144
8055, 3584, 6144
8055, 6144, 3072
8055, 160, 6144
4050, 3584, 6144
4050, 6144, 3072
4050, 160, 6144
4054, 3584, 6144
4054, 6144, 3072
4054, 160, 6144
7613, 3584, 6144
7613, 6144, 3072
7613, 160, 6144
4216, 3584, 6144
4216, 6144, 3072
4216, 160, 6144
3943, 3584, 6144
3943, 6144, 3072
3943, 160, 6144
8276, 3584, 6144
8276, 6144, 3072
8276, 160, 6144
8374, 3584, 6144
8374, 6144, 3072
8374, 160, 6144
7957, 3584, 6144
7957, 6144, 3072
7957, 160, 6144
7810, 3584, 6144
7810, 6144, 3072
7810, 160, 6144
7944, 3584, 6144
7944, 6144, 3072
7944, 160, 6144
7902, 3584, 6144
7902, 6144, 3072
7902, 160, 6144
4218, 3584, 6144
4218, 6144, 3072
4218, 160, 6144
3817, 3584, 6144
3817, 6144, 3072
3817, 160, 6144
8797, 3584, 6144
8797, 6144, 3072
8797, 160, 6144
8324, 3584, 6144
8324, 6144, 3072
8324, 160, 6144
8117, 3584, 6144
8117, 6144, 3072
8117, 160, 6144
4045, 3584, 6144
4045, 6144, 3072
4045, 160, 6144
4166, 3584, 6144
4166, 6144, 3072
4166, 160, 6144
4321, 3584, 6144
4321, 6144, 3072
4321, 160, 6144
4196, 3584, 6144
4196, 6144, 3072
4196, 160, 6144
8266, 3584, 6144
8266, 6144, 3072
8266, 160, 6144
4146, 3584, 6144
4146, 6144, 3072
4146, 160, 6144
8577, 3584, 6144
8577, 6144, 3072
8577, 160, 6144
8062, 3584, 6144
8062, 6144, 3072
8062, 160, 6144
4515, 3584, 6144
4515, 6144, 3072
4515, 160, 6144
4044, 3584, 6144
4044, 6144, 3072
4044, 160, 6144
4509, 3584, 6144
4509, 6144, 3072
4509, 160, 6144
4424, 3584, 6144
4424, 6144, 3072
4424, 160, 6144
3954, 3584, 6144
3954, 6144, 3072
3954, 160, 6144
8453, 3584, 6144
8453, 6144, 3072
8453, 160, 6144
4286, 3584, 6144
4286, 6144, 3072
4286, 160, 6144
4095, 3584, 6144
4095, 6144, 3072
4095, 160, 6144
4250, 3584, 6144
4250, 6144, 3072
4250, 160, 6144
4311, 3584, 6144
4311, 6144, 3072
4311, 160, 6144
7980, 3584, 6144
7980, 6144, 3072
7980, 160, 6144
4392, 3584, 6144
4392, 6144, 3072
4392, 160, 6144
4036, 3584, 6144
4036, 6144, 3072
4036, 160, 6144
4493, 3584, 6144
4493, 6144, 3072
4493, 160, 6144
4259, 3584, 6144
4259, 6144, 3072
4259, 160, 6144
4205, 3584, 6144
4205, 6144, 3072
4205, 160, 6144
3973, 3584, 6144
3973, 6144, 3072
3973, 160, 6144
13399, 3584, 6144
13399, 6144, 3072
13399, 160, 6144
54082, 3584, 6144
54082, 6144, 3072
54082, 160, 6144
12684, 3584, 6144
12684, 6144, 3072
12684, 160, 6144
12381, 3584, 6144
12381, 6144, 3072
12381, 160, 6144
12687, 3584, 6144
12687, 6144, 3072
12687, 160, 6144
12237, 3584, 6144
12237, 6144, 3072
12237, 160, 6144
11328, 3584, 6144
11328, 6144, 3072
11328, 160, 6144
13227, 3584, 6144
13227, 6144, 3072
13227, 160, 6144
12649, 3584, 6144
12649, 6144, 3072
12649, 160, 6144
11419, 3584, 6144
11419, 6144, 3072
11419, 160, 6144
13510, 3584, 6144
13510, 6144, 3072
13510, 160, 6144
12136, 3584, 6144
12136, 6144, 3072
12136, 160, 6144
13100, 3584, 6144
13100, 6144, 3072
13100, 160, 6144
13780, 3584, 6144
13780, 6144, 3072
13780, 160, 6144
13182, 3584, 6144
13182, 6144, 3072
13182, 160, 6144
14190, 3584, 6144
14190, 6144, 3072
14190, 160, 6144
11811, 3584, 6144
11811, 6144, 3072
11811, 160, 6144
13452, 3584, 6144
13452, 6144, 3072
13452, 160, 6144
12368, 3584, 6144
12368, 6144, 3072
12368, 160, 6144
12182, 3584, 6144
12182, 6144, 3072
12182, 160, 6144
12474, 3584, 6144
12474, 6144, 3072
12474, 160, 6144
12737, 3584, 6144
12737, 6144, 3072
12737, 160, 6144
13101, 3584, 6144
13101, 6144, 3072
13101, 160, 6144
25780, 3584, 6144
25780, 6144, 3072
25780, 160, 6144
13516, 3584, 6144
13516, 6144, 3072
13516, 160, 6144
11513, 3584, 6144
11513, 6144, 3072
11513, 160, 6144
14542, 3584, 6144
14542, 6144, 3072
14542, 160, 6144
14948, 3584, 6144
14948, 6144, 3072
14948, 160, 6144
27037, 3584, 6144
27037, 6144, 3072
27037, 160, 6144
11969, 3584, 6144
11969, 6144, 3072
11969, 160, 6144
14098, 3584, 6144
14098, 6144, 3072
14098, 160, 6144
14273, 3584, 6144
14273, 6144, 3072
14273, 160, 6144
13260, 3584, 6144
13260, 6144, 3072
13260, 160, 6144
14030, 3584, 6144
14030, 6144, 3072
14030, 160, 6144
13408, 3584, 6144
13408, 6144, 3072
13408, 160, 6144
26761, 3584, 6144
26761, 6144, 3072
26761, 160, 6144
27952, 3584, 6144
27952, 6144, 3072
27952, 160, 6144
14937, 3584, 6144
14937, 6144, 3072
14937, 160, 6144
11707, 3584, 6144
11707, 6144, 3072
11707, 160, 6144
11780, 3584, 6144
11780, 6144, 3072
11780, 160, 6144
14022, 3584, 6144
14022, 6144, 3072
14022, 160, 6144
11874, 3584, 6144
11874, 6144, 3072
11874, 160, 6144
14992, 3584, 6144
14992, 6144, 3072
14992, 160, 6144
12639, 3584, 6144
12639, 6144, 3072
12639, 160, 6144
12301, 3584, 6144
12301, 6144, 3072
12301, 160, 6144
14969, 3584, 6144
14969, 6144, 3072
14969, 160, 6144
29395, 3584, 6144
29395, 6144, 3072
29395, 160, 6144
13954, 3584, 6144
13954, 6144, 3072
13954, 160, 6144
12191, 3584, 6144
12191, 6144, 3072
12191, 160, 6144
14961, 3584, 6144
14961, 6144, 3072
14961, 160, 6144
12783, 3584, 6144
12783, 6144, 3072
12783, 160, 6144
14817, 3584, 6144
14817, 6144, 3072
14817, 160, 6144
13454, 3584, 6144
13454, 6144, 3072
13454, 160, 6144
14029, 3584, 6144
14029, 6144, 3072
14029, 160, 6144
14917, 3584, 6144
14917, 6144, 3072
14917, 160, 6144
12072, 3584, 6144
12072, 6144, 3072
12072, 160, 6144
14000, 3584, 6144
14000, 6144, 3072
14000, 160, 6144
12896, 3584, 6144
12896, 6144, 3072
12896, 160, 6144
12949, 3584, 6144
12949, 6144, 3072
12949, 160, 6144
13463, 3584, 6144
13463, 6144, 3072
13463, 160, 6144
13195, 3584, 6144
13195, 6144, 3072
13195, 160, 6144
14505, 3584, 6144
14505, 6144, 3072
14505, 160, 6144
13810, 3584, 6144
13810, 6144, 3072
13810, 160, 6144
13172, 3584, 6144
13172, 6144, 3072
13172, 160, 6144
13489, 3584, 6144
13489, 6144, 3072
13489, 160, 6144
13384, 3584, 6144
13384, 6144, 3072
13384, 160, 6144
14544, 3584, 6144
14544, 6144, 3072
14544, 160, 6144
12843, 3584, 6144
12843, 6144, 3072
12843, 160, 6144
13362, 3584, 6144
13362, 6144, 3072
13362, 160, 6144
12192, 3584, 6144
12192, 6144, 3072
12192, 160, 6144
13705, 3584, 6144
13705, 6144, 3072
13705, 160, 6144
13916, 3584, 6144
13916, 6144, 3072
13916, 160, 6144
12305, 3584, 6144
12305, 6144, 3072
12305, 160, 6144
11597, 3584, 6144
11597, 6144, 3072
11597, 160, 6144
13097, 3584, 6144
13097, 6144, 3072
13097, 160, 6144
12862, 3584, 6144
12862, 6144, 3072
12862, 160, 6144
14581, 3584, 6144
14581, 6144, 3072
14581, 160, 6144
27671, 3584, 6144
27671, 6144, 3072
27671, 160, 6144
13422, 3584, 6144
13422, 6144, 3072
13422, 160, 6144
12167, 3584, 6144
12167, 6144, 3072
12167, 160, 6144
11072, 3584, 6144
11072, 6144, 3072
11072, 160, 6144
12705, 3584, 6144
12705, 6144, 3072
12705, 160, 6144
13210, 3584, 6144
13210, 6144, 3072
13210, 160, 6144
14284, 3584, 6144
14284, 6144, 3072
14284, 160, 6144
14254, 3584, 6144
14254, 6144, 3072
14254, 160, 6144
12666, 3584, 6144
12666, 6144, 3072
12666, 160, 6144
12752, 3584, 6144
12752, 6144, 3072
12752, 160, 6144
23580, 3584, 6144
23580, 6144, 3072
23580, 160, 6144
11345, 3584, 6144
11345, 6144, 3072
11345, 160, 6144
14999, 3584, 6144
14999, 6144, 3072
14999, 160, 6144
12542, 3584, 6144
12542, 6144, 3072
12542, 160, 6144
12614, 3584, 6144
12614, 6144, 3072
12614, 160, 6144
11798, 3584, 6144
11798, 6144, 3072
11798, 160, 6144
13829, 3584, 6144
13829, 6144, 3072
13829, 160, 6144
11437, 3584, 6144
11437, 6144, 3072
11437, 160, 6144
12839, 3584, 6144
12839, 6144, 3072
12839, 160, 6144
12159, 3584, 6144
12159, 6144, 3072
12159, 160, 6144
13440, 3584, 6144
13440, 6144, 3072
13440, 160, 6144
12540, 3584, 6144
12540, 6144, 3072
12540, 160, 6144
11869, 3584, 6144
11869, 6144, 3072
11869, 160, 6144
13016, 3584, 6144
13016, 6144, 3072
13016, 160, 6144
13483, 3584, 6144
13483, 6144, 3072
13483, 160, 6144
26416, 3584, 6144
26416, 6144, 3072
26416, 160, 6144
12418, 3584, 6144
12418, 6144, 3072
12418, 160, 6144
4919, 3584, 6144
4919, 6144, 3072
4919, 160, 6144
13518, 3584, 6144
13518, 6144, 3072
13518, 160, 6144
12144, 3584, 6144
12144, 6144, 3072
12144, 160, 6144
13109, 3584, 6144
13109, 6144, 3072
13109, 160, 6144
13788, 3584, 6144
13788, 6144, 3072
13788, 160, 6144
13190, 3584, 6144
13190, 6144, 3072
13190, 160, 6144
14198, 3584, 6144
14198, 6144, 3072
14198, 160, 6144
11820, 3584, 6144
11820, 6144, 3072
11820, 160, 6144
13460, 3584, 6144
13460, 6144, 3072
13460, 160, 6144
12376, 3584, 6144
12376, 6144, 3072
12376, 160, 6144
12189, 3584, 6144
12189, 6144, 3072
12189, 160, 6144
12482, 3584, 6144
12482, 6144, 3072
12482, 160, 6144
12743, 3584, 6144
12743, 6144, 3072
12743, 160, 6144
13108, 3584, 6144
13108, 6144, 3072
13108, 160, 6144
11896, 3584, 6144
11896, 6144, 3072
11896, 160, 6144
27418, 3584, 6144
27418, 6144, 3072
27418, 160, 6144
11521, 3584, 6144
11521, 6144, 3072
11521, 160, 6144
14550, 3584, 6144
14550, 6144, 3072
14550, 160, 6144
14955, 3584, 6144
14955, 6144, 3072
14955, 160, 6144
14238, 3584, 6144
14238, 6144, 3072
14238, 160, 6144
12872, 3584, 6144
12872, 6144, 3072
12872, 160, 6144
26019, 3584, 6144
26019, 6144, 3072
26019, 160, 6144
12656, 3584, 6144
12656, 6144, 3072
12656, 160, 6144
14280, 3584, 6144
14280, 6144, 3072
14280, 160, 6144
13268, 3584, 6144
13268, 6144, 3072
13268, 160, 6144
14039, 3584, 6144
14039, 6144, 3072
14039, 160, 6144
13415, 3584, 6144
13415, 6144, 3072
13415, 160, 6144
13763, 3584, 6144
13763, 6144, 3072
13763, 160, 6144
27848, 3584, 6144
27848, 6144, 3072
27848, 160, 6144
13181, 3584, 6144
13181, 6144, 3072
13181, 160, 6144
13459, 3584, 6144
13459, 6144, 3072
13459, 160, 6144
14945, 3584, 6144
14945, 6144, 3072
14945, 160, 6144
23438, 3584, 6144
23438, 6144, 3072
23438, 160, 6144
26819, 3584, 6144
26819, 6144, 3072
26819, 160, 6144
12648, 3584, 6144
12648, 6144, 3072
12648, 160, 6144
12308, 3584, 6144
12308, 6144, 3072
12308, 160, 6144
14977, 3584, 6144
14977, 6144, 3072
14977, 160, 6144
29402, 3584, 6144
29402, 6144, 3072
29402, 160, 6144
13961, 3584, 6144
13961, 6144, 3072
13961, 160, 6144
12199, 3584, 6144
12199, 6144, 3072
12199, 160, 6144
14968, 3584, 6144
14968, 6144, 3072
14968, 160, 6144
12790, 3584, 6144
12790, 6144, 3072
12790, 160, 6144
13858, 3584, 6144
13858, 6144, 3072
13858, 160, 6144
14004, 3584, 6144
14004, 6144, 3072
14004, 160, 6144
12901, 3584, 6144
12901, 6144, 3072
12901, 160, 6144
13669, 3584, 6144
13669, 6144, 3072
13669, 160, 6144
13983, 3584, 6144
13983, 6144, 3072
13983, 160, 6144
13434, 3584, 6144
13434, 6144, 3072
13434, 160, 6144
11962, 3584, 6144
11962, 6144, 3072
11962, 160, 6144
13359, 3584, 6144
13359, 6144, 3072
13359, 160, 6144
14382, 3584, 6144
14382, 6144, 3072
14382, 160, 6144
12910, 3584, 6144
12910, 6144, 3072
12910, 160, 6144
12618, 3584, 6144
12618, 6144, 3072
12618, 160, 6144
14910, 3584, 6144
14910, 6144, 3072
14910, 160, 6144
13731, 3584, 6144
13731, 6144, 3072
13731, 160, 6144
13465, 3584, 6144
13465, 6144, 3072
13465, 160, 6144
12291, 3584, 6144
12291, 6144, 3072
12291, 160, 6144
14825, 3584, 6144
14825, 6144, 3072
14825, 160, 6144
13462, 3584, 6144
13462, 6144, 3072
13462, 160, 6144
14038, 3584, 6144
14038, 6144, 3072
14038, 160, 6144
14925, 3584, 6144
14925, 6144, 3072
14925, 160, 6144
12080, 3584, 6144
12080, 6144, 3072
12080, 160, 6144
14008, 3584, 6144
14008, 6144, 3072
14008, 160, 6144
12904, 3584, 6144
12904, 6144, 3072
12904, 160, 6144
12957, 3584, 6144
12957, 6144, 3072
12957, 160, 6144
13471, 3584, 6144
13471, 6144, 3072
13471, 160, 6144
13202, 3584, 6144
13202, 6144, 3072
13202, 160, 6144
14513, 3584, 6144
14513, 6144, 3072
14513, 160, 6144
13818, 3584, 6144
13818, 6144, 3072
13818, 160, 6144
13179, 3584, 6144
13179, 6144, 3072
13179, 160, 6144
13497, 3584, 6144
13497, 6144, 3072
13497, 160, 6144
13392, 3584, 6144
13392, 6144, 3072
13392, 160, 6144
14552, 3584, 6144
14552, 6144, 3072
14552, 160, 6144
12850, 3584, 6144
12850, 6144, 3072
12850, 160, 6144
13371, 3584, 6144
13371, 6144, 3072
13371, 160, 6144
12201, 3584, 6144
12201, 6144, 3072
12201, 160, 6144
13713, 3584, 6144
13713, 6144, 3072
13713, 160, 6144
13924, 3584, 6144
13924, 6144, 3072
13924, 160, 6144
12313, 3584, 6144
12313, 6144, 3072
12313, 160, 6144
11606, 3584, 6144
11606, 6144, 3072
11606, 160, 6144
13105, 3584, 6144
13105, 6144, 3072
13105, 160, 6144
12868, 3584, 6144
12868, 6144, 3072
12868, 160, 6144
29053, 3584, 6144
29053, 6144, 3072
29053, 160, 6144
13215, 3584, 6144
13215, 6144, 3072
13215, 160, 6144
13430, 3584, 6144
13430, 6144, 3072
13430, 160, 6144
12174, 3584, 6144
12174, 6144, 3072
12174, 160, 6144
11079, 3584, 6144
11079, 6144, 3072
11079, 160, 6144
12714, 3584, 6144
12714, 6144, 3072
12714, 160, 6144
13219, 3584, 6144
13219, 6144, 3072
13219, 160, 6144
14292, 3584, 6144
14292, 6144, 3072
14292, 160, 6144
14263, 3584, 6144
14263, 6144, 3072
14263, 160, 6144
12672, 3584, 6144
12672, 6144, 3072
12672, 160, 6144
12759, 3584, 6144
12759, 6144, 3072
12759, 160, 6144
12011, 3584, 6144
12011, 6144, 3072
12011, 160, 6144
11640, 3584, 6144
11640, 6144, 3072
11640, 160, 6144
11352, 3584, 6144
11352, 6144, 3072
11352, 160, 6144
15007, 3584, 6144
15007, 6144, 3072
15007, 160, 6144
12550, 3584, 6144
12550, 6144, 3072
12550, 160, 6144
12622, 3584, 6144
12622, 6144, 3072
12622, 160, 6144
11806, 3584, 6144
11806, 6144, 3072
11806, 160, 6144
13835, 3584, 6144
13835, 6144, 3072
13835, 160, 6144
11444, 3584, 6144
11444, 6144, 3072
11444, 160, 6144
12847, 3584, 6144
12847, 6144, 3072
12847, 160, 6144
13447, 3584, 6144
13447, 6144, 3072
13447, 160, 6144
12548, 3584, 6144
12548, 6144, 3072
12548, 160, 6144
11877, 3584, 6144
11877, 6144, 3072
11877, 160, 6144
13023, 3584, 6144
13023, 6144, 3072
13023, 160, 6144
13491, 3584, 6144
13491, 6144, 3072
13491, 160, 6144
13127, 3584, 6144
13127, 6144, 3072
13127, 160, 6144
13361, 3584, 6144
13361, 6144, 3072
13361, 160, 6144
12426, 3584, 6144
12426, 6144, 3072
12426, 160, 6144
12692, 3584, 6144
12692, 6144, 3072
12692, 160, 6144
12387, 3584, 6144
12387, 6144, 3072
12387, 160, 6144
12694, 3584, 6144
12694, 6144, 3072
12694, 160, 6144
12245, 3584, 6144
12245, 6144, 3072
12245, 160, 6144
11336, 3584, 6144
11336, 6144, 3072
11336, 160, 6144
13235, 3584, 6144
13235, 6144, 3072
13235, 160, 6144
12657, 3584, 6144
12657, 6144, 3072
12657, 160, 6144
11428, 3584, 6144
11428, 6144, 3072
11428, 160, 6144
14762, 3584, 6144
14762, 6144, 3072
14762, 160, 6144
62745, 3584, 6144
62745, 6144, 3072
62745, 160, 6144
11537, 3584, 6144
11537, 6144, 3072
11537, 160, 6144
29458, 3584, 6144
29458, 6144, 3072
29458, 160, 6144
14253, 3584, 6144
14253, 6144, 3072
14253, 160, 6144
12888, 3584, 6144
12888, 6144, 3072
12888, 160, 6144
11993, 3584, 6144
11993, 6144, 3072
11993, 160, 6144
14123, 3584, 6144
14123, 6144, 3072
14123, 160, 6144
12673, 3584, 6144
12673, 6144, 3072
12673, 160, 6144
14297, 3584, 6144
14297, 6144, 3072
14297, 160, 6144
13285, 3584, 6144
13285, 6144, 3072
13285, 160, 6144
14055, 3584, 6144
14055, 6144, 3072
14055, 160, 6144
13431, 3584, 6144
13431, 6144, 3072
13431, 160, 6144
